pincode,city,district,state,lat,lng
110001,Patiala House SO,New Delhi,Delhi,28.2348611,77.2348611
110002,IPEstate SO,Central,Delhi,28.6274167,77.2435833
110003,Kasturba Nagar SO South Delhi,South East,Delhi,28.576544,77.224654
110004,Rashtrapati Bhawan SO,New Delhi,Delhi,28.6210833,77.1961389
110005,Bank Street SO Central Delhi,Central,Delhi,22.0,77.0
110006,Delhi GPO,Central,Delhi,28.635313,77.224955
110007,RCAO SO,North,Delhi,28.629917,77.239895
110008,Patel Nagar SO Central Delhi,West,Delhi,28.6225833,77.2127222
110009,Gujranwala Colony SO,North West,Delhi,28.6955833,77.1901111
110010,Aps Colony BO,New Delhi,Delhi,28.57,77.13
110011,Nirman Bhawan SO,New Delhi,Delhi,28.6108611,77.2148611
110012,Inderpuri SO,West,Delhi,28.6320278,77.1484167
110013,Hazrat Nizamuddin SO,South,Delhi,28.58775,77.2505833
110014,Hari Nagar Ashram SO,South East,Delhi,28.57,77.26
110015,Mansarover Garden S.O,West,Delhi,28.6485278,77.1365
110016,Technology Bhawan SO,South,Delhi,28.5373056,77.1907222
110017,South Malviya Nagar SO,South,Delhi,28.522982,77.214514
110018,Chaukhandi B.O,West,Delhi,24.867183,67.273615
110019,Alaknanda SO,South East,Delhi,28.5256389,77.2541667
110020,Tehkhand BO,South,Delhi,28.52,77.29
110021,Anand Niketan SO,New Delhi,Delhi,28.5787222,77.1648889
110022,R K Puram Sect4 SO,New Delhi,Delhi,28.555,77.1810278
110023,Kidwai Nagar West SO,New Delhi,Delhi,28.5712778,77.2051667
110024,Lajpat Nagar South Delhi SO,South,Delhi,28.5381667,77.2150278
110025,Abul Fazal EnclaveI SO,Budaun,Uttar Pradesh,28.5425556,77.2931667
110026,Punjabi Bagh Sec   III S.O,West,Delhi,28.6198611,77.0975833
110027,Subhash Nagar West S.O,West,Delhi,28.6371111,77.1098889
110028,Naraina Village S.O,New Delhi,Delhi,28.6305,77.1349167
110029,Ansari Nagar SO,South,Delhi,28.5649167,77.2068056
110030,Paryavaran Complex SO,South,Delhi,28.5174444,77.2055278
110031,Geeta Colony SO,Shahdara,Delhi,28.653,77.2741667
110032,Bhola Nath Nagar SO,Shahdara,Delhi,28.6546944,77.2973611
110033,NSMandi SO,North,Delhi,28.7126944,77.1733333
110034,Sri Nagar Colony SO,North West,Delhi,28.6819167,77.1366667
110035,Sarai Rohilla SO,North West,Delhi,28.6694167,77.1763889
110036,Kadipur BO,North,Delhi,28.7978055,77.13
110037,Nangal Dewat BO,New Delhi,Delhi,28.5302777,77.1155277
110038,A F Rajokari SO,New Delhi,Delhi,28.5193889,77.1498056
110039,Pooth Khurd BO,North,Delhi,28.7996944,77.0380555
110040,NARELA TOWN,North,Delhi,28.84,77.08
110041,Nilothi B.O,West,Delhi,28.651181,77.059325
110042,Pehlad Pur BO,North,Delhi,28.72775,77.1636111
110043,Khaira B.O,South West,Delhi,24.871535,86.207106
110044,Pul Pahladpur BO,South,Delhi,28.5,77.3
110045,Indira Park B.O,South West,Delhi,17.413655,78.483833
110046,Sagarpur S.O,New Delhi,Delhi,28.6110556,77.1029167
110047,Mandi BO,South,Delhi,28.44,77.14
110048,Greater Kailash SO,South,Delhi,28.5376667,77.2381389
110049,Sahpurjat BO,South,Delhi,28.55,77.21
110051,Govind Pura SO,East,Delhi,28.6453611,77.2871111
110052,Shastri Nagar SO North West Delhi,North,Delhi,28.670081,77.18125
110053,Garhi Mandu BO,North East,Delhi,28.38,77.12
110054,Civil Lines SO North Delhi,Central,Delhi,28.6624167,77.2348333
110055,SRT NAGAR EXTENSION COUNTER,Central,Delhi,28.6123,77.17
110056,Shakur Basti Depot SO,North West,Delhi,28.6827222,77.1111111
110057,Vasant Vihar2 SO,New Delhi,Delhi,28.5578889,77.15575
110058,D.E.S.U. Colony S.O,West,Delhi,28.6115,77.0970833
110059,Matiala B.O,West,Delhi,28.609409,77.054325
110060,Rajender Nagar SO,Central,Delhi,28.6367222,77.1831111
110061,Bijwasan SO,South West,Delhi,28.5331111,77.5193889
110062,Hamdard Nagar SO,South,Delhi,28.5125556,77.2510556
110063,Paschim Vihar B Block S.O,West,Delhi,28.66325,77.1088056
110064,Mayapuri Shopping Centre S.O,West,Delhi,28.614756,71.11292
110065,Sant Nagar SO South Delhi,South East,Delhi,28.554003,77.24903
110066,R K Puram Main SO,New Delhi,Delhi,28.5598056,77.1765278
110067,JNU New Campus SO,New Delhi,Delhi,28.5393611,77.1635
110068,Ignou SO,South,Delhi,28.5012222,77.2003056
110069,Union Public Service Commission SO,New Delhi,Delhi,28.6225833,77.2127222
110070,Vasant Kunj PktA SO,New Delhi,Delhi,28.5139722,77.1655
110071,Badusarai B.O,South West,Delhi,28.529595,76.986468
110072,CRPF Jharoda Kalan S.O,South West,Delhi,28.6359167,77.9605833
110073,Jafarpur B.O,South West,Delhi,22.321388,88.248552
110074,Chandanhoola BO,South,Delhi,28.45,77.18
110075,Amberhai B.O,South West,Delhi,28.578231,77.04961
110076,Ali BO,South,Delhi,28.52,77.31
110077,Barthal B.O,South West,Delhi,28.542804,77.049144
110078,Kakrola B.O,South West,Delhi,28.598435,77.022021
110080,Sangam Vihar SO,South,Delhi,28.5,77.24
110081,H S School,North West,Delhi,28.734916,77.005555
110082,Khera Khurd BO,North,Delhi,28.7721666,77.119
110083,Mangolpuri S Block SO,North West,Delhi,28.6904722,77.0822778
